Year,Actor,Role(s),Film,Age,Nationality
"1928 
",Emil Jannings ,Grand Duke Sergius Alexander,The Last Command,44,German
"1929
",Warner Baxter ,The Cisco Kid,In Old Arizona,39,American
"1930 
",George Arliss ,Benjamin Disraeli,Disraeli,61,British
"1931 
",Lionel Barrymore ,Stephen Ashe,A Free Soul,53,American
"1932 
",Wallace Beery ,"Andy ""Champ"" Purcell",The Champ,48,American
"1933 
",Charles Laughton ,King Henry VIII,The Private Life of Henry VIII,34,British
"1934 
",Clark Gable ,Peter Warne,It Happened One Night,33,American
"1935 
",Victor McLaglen ,Gypo Nolan,The Informer,48,British
"1936 
",Paul Muni ,Louis Pasteur,The Story of Louis Pasteur,41,American
"1937 
",Spencer Tracy ,Manuel Fidello,Captains Courageous,37,American
"1938 
",Spencer Tracy ,Father Edward Flanagan,Boys Town,38,American
"1939 
",Robert Donat ,Charles Edward Chipping,"Goodbye, Mr. Chips",34,British
"1940 
",James Stewart ,"Macaulay ""Mike"" Connor",The Philadelphia Story,32,American
"1941 
",Gary Cooper ,Sgt. Alvin York,Sergeant York,40,American
"1942 
",James Cagney ,George M. Cohan,Yankee Doodle Dandy,43,American
"1943 
",Paul Lukas ,Kurt Muller,Watch on the Rhine,49,Hungarian
"1944 
",Bing Crosby ,Father Chuck O'Malley,Going My Way,41,American
"1945 
",Ray Milland ,Don Birnam,The Lost Weekend,38,British
"1946 
",Fredric March ,Platoon Sergeant Al Stephenson,The Best Years of Our Lives,49,American
"1947 
",Ronald Colman ,Anthony John,A Double Life,55,British
"1948 
",Laurence Olivier ,"Hamlet, Prince of Denmark",Hamlet,41,British
"1949 
",Broderick Crawford ,Willie Stark,All the King's Men,38,American
"1950 
",Jos� Ferrer ,Cyrano de Bergerac,Cyrano de Bergerac,38,Puerto Rico
"1951 
",Humphrey Bogart ,Charlie Allnut,The African Queen,52,American
"1952 
",Gary Cooper ,Marshal Will Kane,High Noon,51,American
"1953 
",William Holden ,Sgt. J.J. Sefton,Stalag 17,35,American
"1954 
",Marlon Brando ,Terry Malloy,On the Waterfront,30,American
"1955 
",Ernest Borgnine ,Marty Piletti,Marty,38,American
"1956 
",Yul Brynner ,King Mongkut of Siam,The King and I,36,Russian
"1957 
",Alec Guinness ,Colonel Nicholson,The Bridge on the River Kwai,43,British
"1958 
",David Niven ,Major Angus Pollock,Separate Tables,48,British
"1959 
",Charlton Heston ,Judah Ben-Hur,Ben-Hur,36,American
"1960 
",Burt Lancaster ,Elmer Gantry,Elmer Gantry,47,American
"1961 
",Maximilian Schell ,Hans Rolfe,Judgment at Nuremberg,31,Swiss
"1962 
",Gregory Peck ,Atticus Finch,To Kill a Mockingbird,46,American
"1963 
",Sidney Poitier ,Homer Smith,Lilies of the Field,36,American
"1964 
",Rex Harrison ,Professor Henry Higgins,My Fair Lady,56,British
