Actor/Actriz,Nominaciones,Premios
Meryl Streep,21,3
Katharine Hepburn,12,4
Jack Nicholson,12,3
Bette Davis,10,2
Laurence Olivier,10,1
Paul Newman,9,1
Spencer Tracy,9,2
Al Pacino,9,1
Denzel Washington,8,2
Peter O'Toole,8,0
Marlon Brando,8,2
Jack Lemmon,8,2
Geraldine Page,8,1
Glenn Close,8,0
Ingrid Bergman,7,3
Jane Fonda,7,2
Dustin Hoffman,7,2
Robert De Niro,7,2
Richard Burton,7,0
Cate Blanchett,7,2
Judi Dench,7,1
Greer Garson,7,1
Jeff Bridges,7,1
Diane Warren,7,0
Deborah Kerr,6,0
Thelma Ritter,6,0
Deborah Kerr,6,0
Sissy Spacek,6,1
Faye Dunaway,6,1
Jessica Lange,6,2
Frances McDormand,6,3
Daniel Day-Lewis,6,3
Michael Caine,6,2
Leonardo DiCaprio,6,1
Amy Adams,6,0
