Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0614165,2024-03-11,2024-03-11,"2023. OPPENHEIMER DIR. CHRISTOPHER NOLAN 1 NOMINACIÓN 1 GANADO","Cillian Murphy","28 Days Later","25 de mayo de 1976"
2,nm0000409,2023-03-13,2024-03-11,"2022. LA BALLENA DIR. DARREN ARONOFSKY 1 NOMINACIÓN 1 GANADO","Brendan Fraser","The Mummy","3 de diciembre de 1968"
3,nm0000226,2022-03-29,2022-03-29,"2021. EL MÉTODO WILLIAMS DIR. REINALDO MARCUS GREEN 3 NOMINACIONES 1 GANADO","Will Smith","The Fresh Prince of Bel-Air","25 de septiembre de 1968"
4,nm0000164,2021-04-26,2021-04-26,"2020. EL PADRE DIR. FLORIAN ZELLER 6 NOMINACIONES 2 GANADO","Anthony Hopkins","The Silence of the Lambs","31 de diciembre de 1937"
5,nm0001618,2020-02-10,2020-02-10,"2019. JOKER DIR. TODD PHILLIPS 4 NOMINACIONES 1 GANADO","Joaquin Phoenix","Walk the Line","28 de octubre de 1974"
6,nm1785339,2019-02-25,2019-02-25,"2018. BOHEMIAN RHAPSODY DIR. BRYAN SINGER 1 NOMINACIÓN 1 GANADO","Rami Malek","Bohemian Rhapsody","12 de mayo de 1981"
7,nm0000198,2018-03-06,2021-03-15,"2017. EL INSTANTE MÁS OSCURO DIR. JOE WRIGHT 3 NOMINACIONES 1 GANADO","Gary Oldman","Tinker Tailor Soldier Spy","21 de marzo de 1958"
8,nm0000729,2018-01-31,2018-05-09,"2016. MANCHESTER FRENTE AL MAR DIR. KENNETH LONERGAN 2 NOMINACIONES 1 GANADO","Casey Affleck","Manchester by the Sea","12 de agosto de 1975"
9,nm0000138,2018-01-31,2020-01-13,"2015. EL RENACIDO DIR. ALEJANDRO GONZÁLEZ IÑÁRRITU 6 NOMINACIONES 1 GANADO","Leonardo DiCaprio","Inception","11 de noviembre de 1974"
10,nm1519666,2018-01-31,2018-05-09,"2014. LA TEORÍA DEL TODO DIR. JAMES MARSH 2 NOMINACIONES 1 GANADO","Eddie Redmayne","Les Misérables","6 de enero de 1982"
11,nm0000190,2018-01-31,2018-05-09,"2013. CLUB DE COMPRADORES DE DALLAS DIR. JEAN-MARC VALLÉE 1 NOMINACIÓN 1 GANADO","Matthew McConaughey","Interstellar","4 de noviembre de 1969"
12,nm0000358,2018-01-31,2018-05-09,"2012. LINCOLN DIR. STEVEN SPIELBERG 6 NOMINACIONES 3 GANADO","Daniel Day-Lewis","There Will Be Blood","29 de abril de 1957"
13,nm0241121,2018-01-31,2018-05-09,"2011. EL ARTISTA DIR. MICHEL HAZANAVICIUS 1 NOMINACIÓN 1 GANADO","Jean Dujardin","The Artist","19 de junio de 1972"
14,nm0000147,2018-01-31,2018-05-09,"2010. EL DISCURSO DEL REY DIR. TOM HOOPER 2 NOMINACIONES 1 GANADO","Colin Firth","A Single Man","10 de septiembre de 1960"
15,nm0000313,2018-01-31,2018-05-09,"2009. CORAZON SALVAJE DIR. SCOTT COOPER 7 NOMINACIONES 1 GANADO","Jeff Bridges","The Big Lebowski","4 de diciembre de 1949"
16,nm0000576,2018-01-31,2018-05-09,"2008. MI NOMBRE ES HARVEY MILK DIR. GUS VAN SANT 5 NOMINACIONES 2 GANADO","Sean Penn","Mystic River","17 de agosto de 1960"
17,nm0000358,2018-01-31,2018-05-09,"2007. EN EL NOMBRE DEL PADRE DIR. PAUL THOMAS ANDERSON 6 NOMINACIONES 3 GANADO","Daniel Day-Lewis","There Will Be Blood","29 de abril de 1957"
18,nm0001845,2018-01-31,2018-05-09,"2006. EL ÚLTIMO REY DE ESCOCIA DIR. KEVIN MACDONALD 1 NOMINACIÓN 1 GANADO","Forest Whitaker","The Last King of Scotland","15 de julio de 1961"
19,nm0000450,2018-01-31,2018-05-09,"2005. CAPOTE DIR. BENNETT MILLER 4 NOMINACIONES 1 GANADO","Philip Seymour Hoffman","The Master","23 de julio de 1967"
20,nm0004937,2018-01-31,2018-05-09,"2004. RAY DIR. TAYLOR HACKFORD 2 NOMINACIONES 1 GANADO","Jamie Foxx","Collateral","13 de diciembre de 1967"
21,nm0000576,2018-01-31,2018-05-09,"2003. RÍO MÍSTICO DIR. CLINT EASTWOOD 5 NOMINACIONES 2 GANADO","Sean Penn","Mystic River","17 de agosto de 1960"
