title,year,duration,certification,rating,votes,gross,movie_url
1. Avatar,2009,2h 42m,7,7.9,(1.4M),,https://www.imdb.com/title/tt0499549/?ref_=ls_i_1
2. Vengadores: Endgame,2019,3h 1m,7,8.4,(1.3M),,https://www.imdb.com/title/tt4154796/?ref_=ls_i_2
3. Avatar: El sentido del agua,2022,3h 12m,12,7.5,(526K),,https://www.imdb.com/title/tt1630029/?ref_=ls_i_3
4. Titanic,1997,3h 14m,13,7.9,(1.3M),,https://www.imdb.com/title/tt0120338/?ref_=ls_i_4
5. Star Wars: El despertar de la Fuerza,2015,2h 18m,7,7.8,(993K),,https://www.imdb.com/title/tt2488496/?ref_=ls_i_5
6. Vengadores: Infinity War,2018,2h 29m,12,8.4,(1.3M),,https://www.imdb.com/title/tt4154756/?ref_=ls_i_6
7. Spider-Man: No Way Home,2021,2h 28m,7,8.2,(934K),,https://www.imdb.com/title/tt10872600/?ref_=ls_i_7
8. Del revés 2,2024,1h 36m,A,7.5,(205K),,https://www.imdb.com/title/tt22022452/?ref_=ls_i_8
9. Jurassic World,2015,2h 4m,12,6.9,(697K),,https://www.imdb.com/title/tt0369610/?ref_=ls_i_9
10. El rey león,2019,1h 58m,A,6.8,(279K),,https://www.imdb.com/title/tt6105098/?ref_=ls_i_10
11. Los Vengadores,2012,2h 23m,7,8.0,(1.5M),,https://www.imdb.com/title/tt0848228/?ref_=ls_i_11
12. Fast & Furious 7,2015,2h 17m,16,7.1,(424K),,https://www.imdb.com/title/tt2820852/?ref_=ls_i_12
13. Top Gun: Maverick,2022,2h 10m,12,8.2,(758K),,https://www.imdb.com/title/tt1745960/?ref_=ls_i_13
14. Frozen II,2019,1h 43m,A,6.8,(205K),,https://www.imdb.com/title/tt4520988/?ref_=ls_i_14
15. Barbie,2023,1h 54m,A/fig,6.8,(594K),,https://www.imdb.com/title/tt1517268/?ref_=ls_i_15
16. Vengadores: La era de Ultrón,2015,2h 21m,7,7.3,(951K),,https://www.imdb.com/title/tt2395427/?ref_=ls_i_16
17. Super Mario Bros.: La película,2023,1h 32m,A/i,7.0,(261K),,https://www.imdb.com/title/tt6718170/?ref_=ls_i_17
18. Black Panther,2018,2h 14m,12,7.3,(864K),,https://www.imdb.com/title/tt1825683/?ref_=ls_i_18
19. Harry Potter y las Reliquias de la Muerte: Parte 2,2011,2h 10m,7,8.1,(986K),,https://www.imdb.com/title/tt1201607/?ref_=ls_i_19
20. Star Wars: Los últimos jedi,2017,2h 32m,7,6.9,(690K),,https://www.imdb.com/title/tt2527336/?ref_=ls_i_20
21. Deadpool y Lobezno,2024,2h 8m,18,7.6,(468K),,https://www.imdb.com/title/tt6263850/?ref_=ls_i_21
22. Jurassic World: El reino caído,2018,2h 8m,12,6.1,(357K),,https://www.imdb.com/title/tt4881806/?ref_=ls_i_22
23. Frozen: El reino del hielo,2013,1h 42m,A,7.4,(683K),,https://www.imdb.com/title/tt2294629/?ref_=ls_i_23
24. La bella y la bestia,2017,2h 9m,A/i,7.1,(344K),,https://www.imdb.com/title/tt2771200/?ref_=ls_i_24
25. Los Increíbles 2,2018,1h 58m,A,7.5,(347K),,https://www.imdb.com/title/tt3606756/?ref_=ls_i_25
251. Oz: Un mundo de fantasía,2013,2h 10m,7,6.3,(218K),,https://www.imdb.com/title/tt1623205/?ref_=ls_i_1
252. Furia de titanes,2010,1h 46m,12,5.8,(298K),,https://www.imdb.com/title/tt0800320/?ref_=ls_i_2
