Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000134,2014-03-09,2014-03-09,,"Robert De Niro","Cape Fear","17 de agosto de 1943"
2,nm0000197,2014-03-09,2015-10-25,,"Jack Nicholson","Chinatown","22 de abril de 1937"
3,nm0000008,2014-03-09,2014-03-09,,"Marlon Brando","Apocalypse Now","3 de abril de 1924"
4,nm0000243,2014-03-09,2014-03-09,,"Denzel Washington","Fences","28 de diciembre de 1954"
5,nm0000658,2014-03-09,2014-03-09,,"Meryl Streep","Out of Africa","22 de junio de 1949"
6,nm0000031,2014-03-09,2014-03-09,,"Katharine Hepburn","The Philadelphia Story","12 de mayo de 1907"
7,nm0000358,2014-03-09,2014-03-09,,"Daniel Day-Lewis","There Will Be Blood","29 de abril de 1957"
8,nm0001627,2014-03-09,2014-03-09,,"Sidney Poitier","In the Heat of the Night","20 de febrero de 1927"
9,nm0000007,2015-08-13,2015-08-13,,"Humphrey Bogart","Casablanca","25 de diciembre de 1899"
10,nm0000022,2015-08-13,2015-08-13,,"Clark Gable","It Happened One Night","1 de febrero de 1901"
11,nm0000006,2014-03-09,2014-03-09,,"Ingrid Bergman","Casablanca","29 de agosto de 1915"
12,nm0000138,2014-03-09,2014-03-09,,"Leonardo DiCaprio","Inception","11 de noviembre de 1974"
13,nm0000056,2014-03-09,2014-03-09,,"Paul Newman","The Hustler","26 de enero de 1925"
14,nm0000072,2014-03-09,2014-03-09,,"Elizabeth Taylor","Who's Afraid of Virginia Woolf?","27 de febrero de 1932"
15,nm0000012,2014-03-09,2014-03-09,,"Bette Davis","All About Eve","5 de abril de 1908"
16,nm0000071,2014-08-31,2014-08-31,,"James Stewart","Vertigo","20 de mayo de 1908"
17,nm0000060,2015-04-03,2015-04-03,,"Gregory Peck","To Kill a Mockingbird","5 de abril de 1916"
18,nm0000199,2014-03-09,2014-03-09,,"Al Pacino","Serpico","25 de abril de 1940"
19,nm0000158,2014-03-09,2014-03-09,,"Tom Hanks","Cast Away","9 de julio de 1956"
20,nm0000949,2014-03-09,2014-03-09,,"Cate Blanchett","Carol","14 de mayo de 1969"
21,nm0000030,2014-03-09,2014-03-09,,"Audrey Hepburn","Breakfast at Tiffany's","4 de mayo de 1929"
22,nm0000701,2014-03-09,2014-03-09,,"Kate Winslet","Eternal Sunshine of the Spotless Mind","5 de octubre de 1975"
23,nm0205626,2014-03-10,2014-03-10,,"Viola Davis","Fences","11 de agosto de 1965"
24,nm0000026,2014-03-09,2014-03-09,,"Cary Grant","Arsenic and Old Lace","18 de enero de 1904"
25,nm0000151,2015-08-13,2015-08-13,,"Morgan Freeman","Se7en","1 de junio de 1937"
26,nm0000046,2014-03-09,2014-03-09,,"Vivien Leigh","A Streetcar Named Desire","5 de noviembre de 1913"
27,nm0000059,2014-03-09,2014-03-09,,"Laurence Olivier","Rebecca","22 de mayo de 1907"
28,nm0000537,2015-08-13,2015-08-13,,"Steve McQueen","The Great Escape","24 de marzo de 1930"
29,nm0000473,2014-03-09,2014-03-09,,"Diane Keaton","Annie Hall","5 de enero de 1946"
30,nm0000075,2014-03-09,2014-03-09,,"Spencer Tracy","Guess Who's Coming to Dinner","5 de abril de 1900"
31,nm0451321,2014-03-10,2014-03-10,,"Shah Rukh Khan","Don 2","2 de noviembre de 1965"
32,nm0000210,2014-03-09,2014-03-09,,"Julia Roberts","Pretty Woman","28 de octubre de 1967"
33,nm0000149,2014-03-09,2014-03-09,,"Jodie Foster","The Silence of the Lambs","19 de noviembre de 1962"
34,nm0000023,2014-03-09,2014-03-09,,"Judy Garland","The Wizard of Oz","10 de junio de 1922"
35,nm0000020,2014-03-09,2014-03-09,,"Henry Fonda","12 Angry Men","16 de mayo de 1905"
36,nm0000366,2014-03-10,2014-03-10,,"Catherine Deneuve","8 femmes","22 de octubre de 1943"
37,nm0000038,2015-08-13,2015-08-13,,"Grace Kelly","Dial M for Murder","12 de noviembre de 1929"
38,nm0000545,2014-03-09,2014-03-09,,"Helen Mirren","The Queen","26 de julio de 1945"
39,nm0000164,2014-03-09,2014-03-09,,"Anthony Hopkins","The Silence of the Lambs","31 de diciembre de 1937"
40,nm0000010,2014-03-09,2014-03-09,,"James Cagney","Angels with Dirty Faces","17 de julio de 1899"
41,nm0000291,2014-03-10,2014-03-10,,"Angela Bassett","Black Panther","16 de agosto de 1958"
42,nm0000136,2014-03-09,2014-03-09,,"Johnny Depp","Sweeney Todd: The Demon Barber of Fleet Street","9 de junio de 1963"
43,nm0001256,2014-03-09,2014-03-09,,"Greta Garbo","Ninotchka","18 de septiembre de 1905"
44,nm0000014,2014-03-09,2014-03-09,,"Olivia de Havilland","Gone with the Wind","1 de julio de 1916"
45,nm0000122,2014-03-09,2014-03-09,,"Charles Chaplin","The Great Dictator","16 de abril de 1889"
46,nm0361697,2014-03-10,2014-03-10,,"Setsuko Hara","Banshun","17 de junio de 1920"
47,nm0000267,2014-03-09,2014-03-09,,"Julie Andrews","The Sound of Music","1 de octubre de 1935"
48,nm0001050,2014-03-10,2014-03-10,,"Montgomery Clift","From Here to Eternity","17 de octubre de 1920"
49,nm0001376,2014-03-10,2014-03-10,,"Isabelle Huppert","Elle","16 de marzo de 1953"
50,nm0000028,2014-03-09,2014-03-09,,"Rita Hayworth","Gilda","17 de octubre de 1918"
51,nm0000932,2014-03-09,2014-03-09,,"Halle Berry","Catwoman","14 de agosto de 1966"
52,nm0000015,2014-03-09,2014-03-09,,"James Dean","East of Eden","8 de febrero de 1931"
53,nm0000018,2014-03-09,2014-03-09,,"Kirk Douglas","Ace in the Hole","9 de diciembre de 1916"
54,nm0000081,2014-03-09,2014-03-09,,"Natalie Wood","Rebel Without a Cause","20 de julio de 1938"
55,nm0000052,2014-03-10,2014-03-10,,"Marcello Mastroianni","La dolce vita","26 de septiembre de 1924"
56,nm0001076,2014-03-09,2014-03-09,,"Joan Crawford","What Ever Happened to Baby Jane?","23 de marzo de 1906"
57,nm0000148,2015-08-13,2015-08-13,,"Harrison Ford","Raiders of the Lost Ark","13 de julio de 1942"
58,nm0000215,2014-03-09,2014-03-09,,"Susan Sarandon","Thelma & Louise","4 de octubre de 1946"
59,nm0000037,2014-03-09,2014-03-09,,"Gene Kelly","Singin' in the Rain","23 de agosto de 1912"
60,nm0000335,2014-03-09,2014-03-09,,"Glenn Close","Fatal Attraction","19 de marzo de 1947"
61,nm0000021,2014-03-09,2014-03-09,,"Joan Fontaine","Rebecca","22 de octubre de 1917"
62,nm0000194,2014-03-09,2014-03-09,,"Julianne Moore","Far from Heaven","3 de diciembre de 1960"
63,nm0000226,2014-03-09,2014-03-09,,"Will Smith","The Fresh Prince of Bel-Air","25 de septiembre de 1968"
64,nm0000047,2014-03-09,2014-03-09,,"Sophia Loren","La ciociara","20 de septiembre de 1934"
65,nm0000054,2014-03-09,2014-03-09,,"Marilyn Monroe","Some Like It Hot","1 de junio de 1926"
66,nm0000045,2014-03-10,2014-03-10,,"Bruce Lee","Jing wu men","27 de noviembre de 1940"
67,nm0005093,2019-11-09,2019-11-09,,"Regina King","Ray","15 de enero de 1971"
