Title,Year,Duration,Rating,Budget
2. Titanic,1997,3h 14m,7.9,"$290,000,000"
35. El caballero oscuro,2008,2h 32m,9.0,"$200,000,000"
23. Troya,2004,2h 43m,7.3,"$215,000,000"
17. El caballero oscuro: La leyenda renace,2012,2h 44m,8.4,"$230,000,000"
18. Los Vengadores,2012,2h 23m,8.0,"$220,000,000"
8. Avatar,2009,2h 42m,7.9,"$257,000,000"
"26. Las crónicas de Narnia: El león, la bruja y el armario",2005,2h 23m,6.9,"$214,000,000"
33. Armageddon,1998,2h 31m,6.7,"$200,000,000"
4. Enredados,2010,1h 40m,7.7,"$277,000,000"
5. Harry Potter y el misterio del príncipe,2009,2h 33m,7.6,"$271,000,000"
38. WALL·E,2008,1h 38m,8.4,"$194,000,000"
6. Waterworld,1995,2h 15m,6.3,"$262,000,000"
20. 2012,2009,2h 38m,5.8,"$217,000,000"
36. Van Helsing,2004,2h 11m,6.1,"$197,000,000"
11. Spider-Man 2,2004,2h 7m,7.5,"$246,000,000"
3. Spider-Man 3,2007,2h 19m,6.3,"$289,000,000"
10. King Kong,2005,3h 7m,7.2,"$246,000,000"
7. Piratas del Caribe: El cofre del hombre muerto,2006,2h 31m,7.4,"$259,000,000"
32. Transformers: El lado oscuro de la Luna,2011,2h 34m,6.2,"$201,000,000"
29. Green Lantern (Linterna Verde),2011,1h 54m,5.5,
9. John Carter,2012,2h 12m,6.6,"$250,000,000"
27. Toy Story 3,2010,1h 43m,8.3,"$213,000,000"
19. Transformers: La venganza de los caídos,2009,2h 29m,6.0,"$217,000,000"
1. Piratas del Caribe: En el fin del mundo,2007,2h 49m,7.1,"$336,000,000"
13. X-Men: La decisión final,2006,1h 44m,6.6,"$242,000,000"
