year_film,year_ceremony,category,name,film,winner,Taquilla,Año Ceremonia,Edad_cris,Raza_cris,Nacionalidad_cris
1927,1928,ACTOR,Richard Barthelmess,The Noose,False,,,,,
1927,1928,ACTOR,Emil Jannings,The Last Command,True,,1928.0,45.0,Blanca,Alemania
1928,1929,ACTOR,George Bancroft,Thunderbolt,False,,,,,
1928,1929,ACTOR,Warner Baxter,In Old Arizona,True,,1929.0,40.0,Blanca,Estados Unidos
1928,1929,ACTOR,Chester Morris,Alibi,False,,,,,
1928,1929,ACTOR,Paul Muni,The Valiant,False,,1936.0,42.0,Blanca,Estados Unidos
1928,1929,ACTOR,Lewis Stone,The Patriot,False,,,,,
1929,1930,ACTOR,George Arliss,Disraeli,True,,,,,
1929,1930,ACTOR,George Arliss,The Green Goddess,False,,,,,
1929,1930,ACTOR,Wallace Beery,The Big House,False,,1931.0,51.0,Blanca,Estados Unidos
1929,1930,ACTOR,Maurice Chevalier,The Big Pond,False,,,,,
1929,1930,ACTOR,Ronald Colman,Bulldog Drummond,False,,1947.0,52.0,Blanca,Estados Unidos
1929,1930,ACTOR,Lawrence Tibbett,The Rogue Song,False,,,,,
1930,1931,ACTOR,Lionel Barrymore,A Free Soul,True,,1930.0,53.0,Blanca,Estados Unidos
1930,1931,ACTOR,Jackie Cooper,Skippy,False,,,,,
1930,1931,ACTOR,Richard Dix,Cimarron,False,,,,,
1930,1931,ACTOR,Fredric March,The Royal Family of Broadway,False,,1932.0,37.0,Blanca,Estados Unidos
1930,1931,ACTOR,Fredric March,The Royal Family of Broadway,False,,1946.0,45.0,Blanca,Reino Unido
1930,1931,ACTOR,Adolphe Menjou,The Front Page,False,,,,,
1931,1932,ACTOR,Wallace Beery,The Champ,True,,1931.0,51.0,Blanca,Estados Unidos
1931,1932,ACTOR,Alfred Lunt,The Guardsman,False,,,,,
1931,1932,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True,,1932.0,37.0,Blanca,Estados Unidos
1931,1932,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True,,1946.0,45.0,Blanca,Reino Unido
1932,1933,ACTOR,Leslie Howard,Berkeley Square,False,,,,,
1932,1933,ACTOR,Charles Laughton,The Private Life of Henry VIII,True,,1933.0,34.0,Blanca,Reino Unido
1932,1933,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,False,,1936.0,42.0,Blanca,Estados Unidos
1934,1935,ACTOR,Clark Gable,It Happened One Night,True,,1934.0,34.0,Blanca,Estados Unidos
1934,1935,ACTOR,Frank Morgan,The Affairs of Cellini,False,,,,,
1934,1935,ACTOR,William Powell,The Thin Man,False,,,,,
1935,1936,ACTOR,Clark Gable,Mutiny on the Bounty,False,,1934.0,34.0,Blanca,Estados Unidos
1935,1936,ACTOR,Charles Laughton,Mutiny on the Bounty,False,,1933.0,34.0,Blanca,Reino Unido
1935,1936,ACTOR,Victor McLaglen,The Informer,True,,1935.0,49.0,Blanca,Reino Unido
1935,1936,ACTOR,Paul Muni,Black Fury,False,,1936.0,42.0,Blanca,Estados Unidos
1935,1936,ACTOR,Franchot Tone,Mutiny on the Bounty,False,,,,,
1936,1937,ACTOR,Gary Cooper,Mr. Deeds Goes to Town,False,,1941.0,41.0,Blanca,Estados Unidos
1936,1937,ACTOR,Gary Cooper,Mr. Deeds Goes to Town,False,,1952.0,53.0,Blanca,Estados Unidos
1936,1937,ACTOR,Walter Huston,Dodsworth,False,,,,,
1936,1937,ACTOR,Paul Muni,The Story of Louis Pasteur,True,,1936.0,42.0,Blanca,Estados Unidos
1936,1937,ACTOR,William Powell,My Man Godfrey,False,,,,,
1936,1937,ACTOR,Spencer Tracy,San Francisco,False,,1937.0,36.0,Blanca,Estados Unidos
1936,1937,ACTOR,Spencer Tracy,San Francisco,False,,1938.0,37.0,Blanca,Estados Unidos
1937,1938,ACTOR,Charles Boyer,Conquest,False,,,,,
1937,1938,ACTOR,Fredric March,A Star Is Born,False,,1932.0,37.0,Blanca,Estados Unidos
1937,1938,ACTOR,Fredric March,A Star Is Born,False,,1946.0,45.0,Blanca,Reino Unido
1937,1938,ACTOR,Robert Montgomery,Night Must Fall,False,,,,,
1937,1938,ACTOR,Paul Muni,The Life of Emile Zola,False,,1936.0,42.0,Blanca,Estados Unidos
1937,1938,ACTOR,Spencer Tracy,Captains Courageous,True,,1937.0,36.0,Blanca,Estados Unidos
1937,1938,ACTOR,Spencer Tracy,Captains Courageous,True,,1938.0,37.0,Blanca,Estados Unidos
1938,1939,ACTOR,Charles Boyer,Algiers,False,,,,,
1938,1939,ACTOR,James Cagney,Angels with Dirty Faces,False,,1942.0,42.0,Blanca,Hungría
1938,1939,ACTOR,Robert Donat,The Citadel,False,,1939.0,33.0,Blanca,Reino Unido
1938,1939,ACTOR,Leslie Howard,Pygmalion,False,,,,,
1938,1939,ACTOR,Spencer Tracy,Boys Town,True,,1937.0,36.0,Blanca,Estados Unidos
1938,1939,ACTOR,Spencer Tracy,Boys Town,True,,1938.0,37.0,Blanca,Estados Unidos
1939,1940,ACTOR,Robert Donat,"Goodbye, Mr. Chips",True,,1939.0,33.0,Blanca,Reino Unido
1939,1940,ACTOR,Clark Gable,Gone with the Wind,False,,1934.0,34.0,Blanca,Estados Unidos
1939,1940,ACTOR,Laurence Olivier,Wuthering Heights,False,,1958.0,41.0,Hispano,Puerto Rico
1939,1940,ACTOR,Mickey Rooney,Babes in Arms,False,,,,,
1939,1940,ACTOR,James Stewart,Mr. Smith Goes to Washington,False,,1940.0,32.0,Blanca,Estados Unidos
1940,1941,ACTOR,Charles Chaplin,The Great Dictator,False,,,,,
1940,1941,ACTOR,Henry Fonda,The Grapes of Wrath,False,,1980.0,76.0,Blanca,Reino Unido
1940,1941,ACTOR,Raymond Massey,Abe Lincoln in Illinois,False,,,,,
1940,1941,ACTOR,Laurence Olivier,Rebecca,False,,1958.0,41.0,Hispano,Puerto Rico
1940,1941,ACTOR,James Stewart,The Philadelphia Story,True,,1940.0,32.0,Blanca,Estados Unidos
1941,1942,ACTOR,Gary Cooper,Sergeant York,True,,1941.0,41.0,Blanca,Estados Unidos
1941,1942,ACTOR,Gary Cooper,Sergeant York,True,,1952.0,53.0,Blanca,Estados Unidos
1941,1942,ACTOR,Cary Grant,Penny Serenade,False,,,,,
1941,1942,ACTOR,Walter Huston,All That Money Can Buy,False,,,,,
1941,1942,ACTOR,Robert Montgomery,Here Comes Mr. Jordan,False,,,,,
1941,1942,ACTOR,Orson Welles,Citizen Kane,False,,,,,
1942,1943,ACTOR,James Cagney,Yankee Doodle Dandy,True,,1942.0,42.0,Blanca,Hungría
1942,1943,ACTOR,Ronald Colman,Random Harvest,False,,1947.0,52.0,Blanca,Estados Unidos
1942,1943,ACTOR,Gary Cooper,The Pride of the Yankees,False,,1941.0,41.0,Blanca,Estados Unidos
1942,1943,ACTOR,Gary Cooper,The Pride of the Yankees,False,,1952.0,53.0,Blanca,Estados Unidos
1942,1943,ACTOR,Walter Pidgeon,Mrs. Miniver,False,,,,,
1942,1943,ACTOR,Monty Woolley,The Pied Piper,False,,,,,
1943,1944,ACTOR,Humphrey Bogart,Casablanca,False,,1951.0,54.0,Blanca,Estados Unidos
1943,1944,ACTOR,Gary Cooper,For Whom the Bell Tolls,False,,1941.0,41.0,Blanca,Estados Unidos
