year_film,year_ceremony,category,name,film,winner,Año Ceremonia,Edad_cris,Raza_cris,Nacionalidad_cris,Película,Presupuesto,Taquilla
1930.0,1931,ACTOR,Adolphe Menjou,The Front Page,False,,,,,,,
,2002,,Adrien Brody,,,,,,,"""The Pianist""",35 millones,120 millones
1973.0,1974,ACTOR,Al Pacino,Serpico,False,1991.0,47.0,Afroamericana,Estados Unidos,,,
1974.0,1975,ACTOR,Al Pacino,The Godfather Part II,False,1991.0,47.0,Afroamericana,Estados Unidos,,,
1975.0,1976,ACTOR,Al Pacino,Dog Day Afternoon,False,1991.0,47.0,Afroamericana,Estados Unidos,,,
1966.0,1967,ACTOR,Alan Arkin,The Russians Are Coming The Russians Are Coming,False,,,,,,,
1968.0,1969,ACTOR,Alan Arkin,The Heart Is a Lonely Hunter,False,,,,,,,
1968.0,1969,ACTOR,Alan Bates,The Fixer,False,,,,,,,
1963.0,1964,ACTOR,Albert Finney,Tom Jones,False,,,,,,,
1974.0,1975,ACTOR,Albert Finney,Murder on the Orient Express,False,,,,,,,
1952.0,1953,ACTOR,Alec Guinness,The Lavender Hill Mob,False,1956.0,53.0,Blanca,Estados Unidos,,,
1957.0,1958,ACTOR,Alec Guinness,The Bridge on the River Kwai,True,1956.0,53.0,Blanca,Estados Unidos,,,
1944.0,1945,ACTOR,Alexander Knox,Wilson,False,,,,,,,
1931.0,1932,ACTOR,Alfred Lunt,The Guardsman,False,,,,,,,
1957.0,1958,ACTOR,Anthony Franciosa,A Hatful of Rain,False,,,,,,,
,2020,,Anthony Hopkins,,,,,,,"""The Father""",6 millones,29.2 millones
1957.0,1958,ACTOR,Anthony Quinn,Wild Is the Wind,False,,,,,,,
1964.0,1965,ACTOR,Anthony Quinn,Zorba the Greek,False,,,,,,,
1974.0,1975,ACTOR,Art Carney,Harry and Tonto,True,1973.0,55.0,Blanca,Estados Unidos,,,
1951.0,1952,ACTOR,Arthur Kennedy,Bright Victory,False,,,,,,,
1944.0,1945,ACTOR,Barry Fitzgerald,Going My Way,False,,,,,,,
,1944,,Bing Crosby,,,,,,,"""Going My Way""",2 millones,8.2 millones
1944.0,1945,ACTOR,Bing Crosby,Going My Way,True,1944.0,41.0,Blanca,Reino Unido,,,
1945.0,1946,ACTOR,Bing Crosby,The Bells of St. Mary's,False,1944.0,41.0,Blanca,Reino Unido,,,
1954.0,1955,ACTOR,Bing Crosby,The Country Girl,False,1944.0,41.0,Blanca,Reino Unido,,,
,2022,,Brendan Fraser,,,,,,,"""The Whale""",15 millones,21.4 millones
1949.0,1950,ACTOR,Broderick Crawford,All the King's Men,True,1949.0,44.0,Blanca,Estados Unidos,,,
1953.0,1954,ACTOR,Burt Lancaster,From Here to Eternity,False,1959.0,46.0,Blanca,Estados Unidos,,,
1960.0,1961,ACTOR,Burt Lancaster,Elmer Gantry,True,1959.0,46.0,Blanca,Estados Unidos,,,
1962.0,1963,ACTOR,Burt Lancaster,Birdman of Alcatraz,False,1959.0,46.0,Blanca,Estados Unidos,,,
1941.0,1942,ACTOR,Cary Grant,Penny Serenade,False,,,,,,,
1944.0,1945,ACTOR,Cary Grant,None but the Lonely Heart,False,,,,,,,
,2016,,Casey Affleck,,,,,,,"""Manchester by the Sea""",9 millones,79 millones
1937.0,1938,ACTOR,Charles Boyer,Conquest,False,,,,,,,
1938.0,1939,ACTOR,Charles Boyer,Algiers,False,,,,,,,
1944.0,1945,ACTOR,Charles Boyer,Gaslight,False,,,,,,,
1961.0,1962,ACTOR,Charles Boyer,Fanny,False,,,,,,,
1940.0,1941,ACTOR,Charles Chaplin,The Great Dictator,False,,,,,,,
1932.0,1933,ACTOR,Charles Laughton,The Private Life of Henry VIII,True,1933.0,34.0,Blanca,Reino Unido,,,
1935.0,1936,ACTOR,Charles Laughton,Mutiny on the Bounty,False,1933.0,34.0,Blanca,Reino Unido,,,
1957.0,1958,ACTOR,Charles Laughton,Witness for the Prosecution,False,1933.0,34.0,Blanca,Reino Unido,,,
,1959,,Charlton Heston,,,,,,,"""Ben-Hur""",15 millones,146 millones
1959.0,1960,ACTOR,Charlton Heston,Ben-Hur,True,1958.0,36.0,Blanca,Austria,,,
1928.0,1929,ACTOR,Chester Morris,Alibi,False,,,,,,,
,2023,,Cillian Murphy,,,,,,,"""Oppenheimer""",100 millones,300 millones
,1934,,Clark Gable,,,,,,,"""It Happened One Night""",325,2.1 millones
1934.0,1935,ACTOR,Clark Gable,It Happened One Night,True,1934.0,34.0,Blanca,Estados Unidos,,,
1935.0,1936,ACTOR,Clark Gable,Mutiny on the Bounty,False,1934.0,34.0,Blanca,Estados Unidos,,,
1939.0,1940,ACTOR,Clark Gable,Gone with the Wind,False,1934.0,34.0,Blanca,Estados Unidos,,,
1968.0,1969,ACTOR,Cliff Robertson,Charly,True,1967.0,41.0,Blanca,Estados Unidos,,,
1948.0,1949,ACTOR,Clifton Webb,Sitting Pretty,False,,,,,,,
,2010,,Colin Firth,,,,,,,"""The King's Speech""",15 millones,414 millones
1945.0,1946,ACTOR,Cornel Wilde,A Song to Remember,False,,,,,,,
1948.0,1949,ACTOR,Dan Dailey,When My Baby Smiles at Me,False,,,,,,,
1954.0,1955,ACTOR,Dan O'Herlihy,Adventures of Robinson Crusoe,False,,,,,,,
1958.0,1959,ACTOR,David Niven,Separate Tables,True,1957.0,49.0,Blanca,Estados Unidos,,,
,2001,,Denzel Washington,,,,,,,"""Training Day""",45 millones,76.6 millones
1967.0,1968,ACTOR,Dustin Hoffman,The Graduate,False,1978.0,37.0,Blanca,Estados Unidos,,,
1967.0,1968,ACTOR,Dustin Hoffman,The Graduate,False,1987.0,43.0,Blanca,Reino Unido,,,
1969.0,1970,ACTOR,Dustin Hoffman,Midnight Cowboy,False,1978.0,37.0,Blanca,Estados Unidos,,,
1969.0,1970,ACTOR,Dustin Hoffman,Midnight Cowboy,False,1987.0,43.0,Blanca,Reino Unido,,,
1974.0,1975,ACTOR,Dustin Hoffman,Lenny,False,1978.0,37.0,Blanca,Estados Unidos,,,
1974.0,1975,ACTOR,Dustin Hoffman,Lenny,False,1987.0,43.0,Blanca,Reino Unido,,,
,2014,,Eddie Redmayne,,,,,,,"""The Theory of Everything""",15 millones,123.7 millones
1927.0,1928,ACTOR,Emil Jannings,The Last Command,True,1928.0,45.0,Blanca,Alemania,"""The Last Command""",1.5 millones,2 millones
1955.0,1956,ACTOR,Ernest Borgnine,Marty,True,1954.0,42.0,Blanca,Reino Unido,,,
1935.0,1936,ACTOR,Franchot Tone,Mutiny on the Bounty,False,,,,,,,
1934.0,1935,ACTOR,Frank Morgan,The Affairs of Cellini,False,,,,,,,
1955.0,1956,ACTOR,Frank Sinatra,The Man with the Golden Arm,False,,,,,,,
1930.0,1931,ACTOR,Fredric March,The Royal Family of Broadway,False,1932.0,37.0,Blanca,Estados Unidos,"""The Champ""",1.2 millones,2.5 millones
1930.0,1931,ACTOR,Fredric March,The Royal Family of Broadway,False,1946.0,45.0,Blanca,Reino Unido,"""The Champ""",1.2 millones,2.5 millones
1931.0,1932,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True,1932.0,37.0,Blanca,Estados Unidos,,,
1931.0,1932,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True,1946.0,45.0,Blanca,Reino Unido,,,
1937.0,1938,ACTOR,Fredric March,A Star Is Born,False,1932.0,37.0,Blanca,Estados Unidos,,,
1937.0,1938,ACTOR,Fredric March,A Star Is Born,False,1946.0,45.0,Blanca,Reino Unido,,,
,1946,,Fredric March,,,,,,,"""The Best Years of Our Lives""",2.5 millones,23 millones
1946.0,1947,ACTOR,Fredric March,The Best Years of Our Lives,True,1932.0,37.0,Blanca,Estados Unidos,,,
1946.0,1947,ACTOR,Fredric March,The Best Years of Our Lives,True,1946.0,45.0,Blanca,Reino Unido,,,
1951.0,1952,ACTOR,Fredric March,Death of a Salesman,False,1932.0,37.0,Blanca,Estados Unidos,,,
1951.0,1952,ACTOR,Fredric March,Death of a Salesman,False,1946.0,45.0,Blanca,Reino Unido,,,
1936.0,1937,ACTOR,Gary Cooper,Mr. Deeds Goes to Town,False,1941.0,41.0,Blanca,Estados Unidos,,,
1936.0,1937,ACTOR,Gary Cooper,Mr. Deeds Goes to Town,False,1952.0,53.0,Blanca,Estados Unidos,,,
,1941,,Gary Cooper,,,,,,,"""Sergeant York""",2 millones,6.3 millones
1941.0,1942,ACTOR,Gary Cooper,Sergeant York,True,1941.0,41.0,Blanca,Estados Unidos,,,
1941.0,1942,ACTOR,Gary Cooper,Sergeant York,True,1952.0,53.0,Blanca,Estados Unidos,,,
1942.0,1943,ACTOR,Gary Cooper,The Pride of the Yankees,False,1941.0,41.0,Blanca,Estados Unidos,,,
1942.0,1943,ACTOR,Gary Cooper,The Pride of the Yankees,False,1952.0,53.0,Blanca,Estados Unidos,,,
