year_ceremony,category,name,film,winner
1928,director,Lewis Milestone,Two Arabian Knights,True
1928,director,Frank Borzage,7th Heaven,True
1929,director,Frank Lloyd,The Divine Lady,True
1930,director,Lewis Milestone,All Quiet on the Western Front,True
1931,director,Norman Taurog,Skippy,True
1932,director,Frank Borzage,Bad Girl,True
1933,director,Frank Lloyd,Cavalcade,True
1935,director,Frank Capra,It Happened One Night,True
1936,director,John Ford,The Informer,True
1937,director,Frank Capra,Mr. Deeds Goes to Town,True
1938,director,Leo McCarey,The Awful Truth,True
1939,director,Frank Capra,You Can't Take It with You,True
1940,director,Victor Fleming,Gone with the Wind,True
1941,director,John Ford,The Grapes of Wrath,True
1942,director,John Ford,How Green Was My Valley,True
1943,director,William Wyler,Mrs. Miniver,True
1944,director,Michael Curtiz,Casablanca,True
1945,director,Leo McCarey,Going My Way,True
1946,director,Billy Wilder,The Lost Weekend,True
1947,director,William Wyler,The Best Years of Our Lives,True
1948,director,Elia Kazan,Gentleman's Agreement,True
1949,director,John Huston,The Treasure of the Sierra Madre,True
1950,director,Joseph L. Mankiewicz,A Letter to Three Wives,True
1951,director,Joseph L. Mankiewicz,All about Eve,True
1952,director,George Stevens,A Place in the Sun,True
1953,director,John Ford,The Quiet Man,True
1954,director,Fred Zinnemann,From Here to Eternity,True
1955,director,Elia Kazan,On the Waterfront,True
1956,director,Delbert Mann,Marty,True
1957,director,George Stevens,Giant,True
1958,director,David Lean,The Bridge on the River Kwai,True
1959,director,Vincente Minnelli,Gigi,True
1960,director,William Wyler,Ben-Hur,True
1961,director,Billy Wilder,The Apartment,True
1962,director,"Robert Wise, Jerome Robbins",West Side Story,True
1963,director,David Lean,Lawrence of Arabia,True
1964,director,Tony Richardson,Tom Jones,True
1965,director,George Cukor,My Fair Lady,True
1966,director,Robert Wise,The Sound of Music,True
1967,director,Fred Zinnemann,A Man for All Seasons,True
1968,director,Mike Nichols,The Graduate,True
1969,director,Carol Reed,Oliver!,True
1970,director,John Schlesinger,Midnight Cowboy,True
1971,director,Franklin J. Schaffner,Patton,True
1972,director,William Friedkin,The French Connection,True
1973,director,Bob Fosse,Cabaret,True
1974,director,George Roy Hill,The Sting,True
1975,director,Francis Ford Coppola,The Godfather Part II,True
1976,director,Milos Forman,One Flew over the Cuckoo's Nest,True
1977,director,John G. Avildsen,Rocky,True
1978,director,Woody Allen,Annie Hall,True
1979,director,Michael Cimino,The Deer Hunter,True
1980,director,Robert Benton,Kramer vs. Kramer,True
1981,director,Robert Redford,Ordinary People,True
1982,director,Warren Beatty,Reds,True
1983,director,Richard Attenborough,Gandhi,True
1984,director,James L. Brooks,Terms of Endearment,True
1985,director,Milos Forman,Amadeus,True
1986,director,Sydney Pollack,Out of Africa,True
1987,director,Oliver Stone,Platoon,True
1988,director,Bernardo Bertolucci,The Last Emperor,True
1989,director,Barry Levinson,Rain Man,True
1990,director,Oliver Stone,Born on the Fourth of July,True
1991,director,Kevin Costner,Dances With Wolves,True
1992,director,Jonathan Demme,The Silence of the Lambs,True
1993,director,Clint Eastwood,Unforgiven,True
1994,director,Steven Spielberg,Schindler's List,True
1995,director,Robert Zemeckis,Forrest Gump,True
1996,director,Mel Gibson,Braveheart,True
1997,director,Anthony Minghella,The English Patient,True
1998,director,James Cameron,Titanic,True
1999,director,Steven Spielberg,Saving Private Ryan,True
2000,director,Sam Mendes,American Beauty,True
2001,director,Steven Soderbergh,Traffic,True
2002,director,Ron Howard,A Beautiful Mind,True
2003,director,Roman Polanski,The Pianist,True
2004,director,Peter Jackson,The Lord of the Rings: The Return of the King,True
2005,director,Clint Eastwood,Million Dollar Baby,True
2006,director,Ang Lee,Brokeback Mountain,True
2007,director,Martin Scorsese,The Departed,True
2008,director,Joel Coen and Ethan Coen,No Country for Old Men,True
2009,director,Danny Boyle,Slumdog Millionaire,True
2010,director,Kathryn Bigelow,The Hurt Locker,True
2011,director,Tom Hooper,The King's Speech,True
2012,director,Michel Hazanavicius,The Artist,True
2013,director,Ang Lee,Life of Pi,True
2014,director,Alfonso Cuarón,Gravity,True
2015,director,Alejandro G. Iñárritu,Birdman or (The Unexpected Virtue of Ignorance),True
2016,director,Alejandro G. Iñárritu,The Revenant,True
2017,director,Damien Chazelle,La La Land,True
2018,director,Guillermo del Toro,The Shape of Water,True
2019,director,Alfonso Cuarón,Roma,True
2020,director,Bong Joon Ho,Parasite,True
2021,director,Chloé Zhao,Nomadland,True
2022,director,Jane Campion,The Power of the Dog,True
2023,director,Daniel Kwan and Daniel Scheinert,Everything Everywhere All at Once,True
2024,director,Christopher Nolan,Oppenheimer,True
