year_film,year_ceremony,ceremony,category,name,film,winner
1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False
1927,1928,1,ACTOR,Emil Jannings,The Last Command,True
1928,1929,2,ACTOR,George Bancroft,Thunderbolt,False
1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,True
1928,1929,2,ACTOR,Chester Morris,Alibi,False
1928,1929,2,ACTOR,Paul Muni,The Valiant,False
1928,1929,2,ACTOR,Lewis Stone,The Patriot,False
1929,1930,3,ACTOR,George Arliss,Disraeli,True
1929,1930,3,ACTOR,George Arliss,The Green Goddess,False
1929,1930,3,ACTOR,Wallace Beery,The Big House,False
1929,1930,3,ACTOR,Maurice Chevalier,The Big Pond,False
1929,1930,3,ACTOR,Ronald Colman,Bulldog Drummond,False
1929,1930,3,ACTOR,Lawrence Tibbett,The Rogue Song,False
1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,True
1930,1931,4,ACTOR,Jackie Cooper,Skippy,False
1930,1931,4,ACTOR,Richard Dix,Cimarron,False
1930,1931,4,ACTOR,Fredric March,The Royal Family of Broadway,False
1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,False
1931,1932,5,ACTOR,Wallace Beery,The Champ,True
1931,1932,5,ACTOR,Alfred Lunt,The Guardsman,False
1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True
1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,False
1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,True
1932,1933,6,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,False
1934,1935,7,ACTOR,Clark Gable,It Happened One Night,True
1934,1935,7,ACTOR,Frank Morgan,The Affairs of Cellini,False
1934,1935,7,ACTOR,William Powell,The Thin Man,False
1935,1936,8,ACTOR,Clark Gable,Mutiny on the Bounty,False
1935,1936,8,ACTOR,Charles Laughton,Mutiny on the Bounty,False
1935,1936,8,ACTOR,Victor McLaglen,The Informer,True
1935,1936,8,ACTOR,Paul Muni,Black Fury,False
1935,1936,8,ACTOR,Franchot Tone,Mutiny on the Bounty,False
1936,1937,9,ACTOR,Gary Cooper,Mr. Deeds Goes to Town,False
1936,1937,9,ACTOR,Walter Huston,Dodsworth,False
1936,1937,9,ACTOR,Paul Muni,The Story of Louis Pasteur,True
1936,1937,9,ACTOR,William Powell,My Man Godfrey,False
1936,1937,9,ACTOR,Spencer Tracy,San Francisco,False
1937,1938,10,ACTOR,Charles Boyer,Conquest,False
1937,1938,10,ACTOR,Fredric March,A Star Is Born,False
1937,1938,10,ACTOR,Robert Montgomery,Night Must Fall,False
1937,1938,10,ACTOR,Paul Muni,The Life of Emile Zola,False
1937,1938,10,ACTOR,Spencer Tracy,Captains Courageous,True
1938,1939,11,ACTOR,Charles Boyer,Algiers,False
1938,1939,11,ACTOR,James Cagney,Angels with Dirty Faces,False
1938,1939,11,ACTOR,Robert Donat,The Citadel,False
1938,1939,11,ACTOR,Leslie Howard,Pygmalion,False
1938,1939,11,ACTOR,Spencer Tracy,Boys Town,True
1939,1940,12,ACTOR,Robert Donat,"Goodbye, Mr. Chips",True
1939,1940,12,ACTOR,Clark Gable,Gone with the Wind,False
1939,1940,12,ACTOR,Laurence Olivier,Wuthering Heights,False
1939,1940,12,ACTOR,Mickey Rooney,Babes in Arms,False
